LONGITUDE,LATITUDE,ALT_GEOM,ALT_NORMAL,SIGMALT_RN,NUM_GEOPOTENCIAL,DATUM_ALT,FONT_ALT,GRAV_OBS
-34.990475,-7.88399444,"105,180",,,,,,"978.137,03"
-35.10647778,-7.883925,"117,470",,,,,,"978.124,12"
-34.97451667,-7.88283611,"99,780",,,,,,"978.139,11"
-34.92433056,-7.88240556,"76,030",,,,,,"978.146,33"
-34.94091111,-7.8703,"10,730",,,,,,"978.159,93"
-35.08940833,-7.86879444,"82,400",,,,,,"978.131,87"
-34.92293333,-7.86776667,"9,570",,,,,,"978.162,25"
-34.99041111,-7.86770556,"103,750",,,,,,"978.135,61"
-34.97762778,-7.867625,"93,910",,,,,,"978.138,09"
-34.95696111,-7.86760833,"17,780",,,,,,"978.156,64"
-35.04038333,-7.867575,"87,940",,,,,,"978.134,34"
-35.02216389,-7.86756111,"117,490",,,,,,"978.131,09"
-35.05601389,-7.86750278,"73,760",,,,,,"978.136,06"
-35.00675278,-7.86740556,"109,760",,,,,,"978.133,30"
-34.92337778,-7.852225,"10,310",,,,,,"978.163,09"
-34.973125,-7.85128056,"100,540",,,,,,"978.136,89"
-35.00703056,-7.85119722,"109,880",,,,,,"978.133,18"
-34.94121389,-7.85116944,"56,010",,,,,,"978.150,92"
-35.05785278,-7.85085556,"56,720",,,,,,"978.139,78"
-35.04017222,-7.85071944,"70,070",,,,,,"978.139,30"
-34.99067222,-7.85066944,"107,320",,,,,,"978.135,24"
-35.02461944,-7.85040278,"118,330",,,,,,"978.130,39"
-35.07311944,-7.85025278,"91,080",,,,,,"978.130,98"
-34.95877778,-7.85004167,"32,250",,,,,,"978.154,21"
-34.93916111,-7.83576111,"88,680",,,,,,"978.143,94"
-34.95703889,-7.83448333,"86,160",,,,,,"978.142,60"
-34.97438889,-7.83439444,"70,690",,,,,,"978.143,92"
-34.99059722,-7.83434444,"103,760",,,,,,"978.135,43"
-34.92380833,-7.83419444,"14,060",,,,,,"978.161,81"
-35.04126389,-7.83411111,"73,960",,,,,,"978.138,32"
-35.00752222,-7.833725,"106,030",,,,,,"978.132,09"
-34.85536944,-7.90406667,"-1,630",,,,,,"978.167,42"
-34.92342222,-7.90366111,"67,790",,,,,,"978.148,88"
-34.90718889,-7.90113889,"57,780",,,,,,"978.151,84"
-34.84,-7.90108889,"-0,070",,,,,,"978.167,30"
-34.87282222,-7.90033333,"58,530",,,,,,"978.152,19"
-34.89024167,-7.89995833,"11,750",,,,,,"978.162,66"
-34.90338889,-7.89119444,"14,710",,,,,,"978.162,30"
-34.8721,-7.88528611,"5,210",,,,,,"978.166,04"
-34.90710833,-7.88445556,"20,370",,,,,,"978.160,34"
-34.83808889,-7.88440556,"-3,570",,,,,,"978.169,36"
-34.89044444,-7.88406667,"7,250",,,,,,"978.164,43"
-34.85503333,-7.88195,"6,770",,,,,,"978.166,42"
-34.874925,-7.86843056,"8,910",,,,,,"978.164,76"
-34.85603056,-7.86740556,"13,620",,,,,,"978.164,57"
-34.90658611,-7.86729444,"23,900",,,,,,"978.160,03"
-34.83847222,-7.86701944,"-1,600",,,,,,"978.168,50"
-34.88945833,-7.86534444,"31,240",,,,,,"978.158,92"
-34.87317778,-7.85422222,"22,640",,,,,,"978.161,66"
-34.90538611,-7.851825,"23,380",,,,,,"978.161,66"
-34.83979722,-7.85123611,"-2,860",,,,,,"978.168,50"
-34.88975556,-7.85121667,"1,980",,,,,,"978.166,01"
-34.85658889,-7.85038889,"49,230",,,,,,"978.155,40"
-34.85735,-7.83435,"55,410",,,,,,"978.155,14"
-34.87405833,-7.833925,"13,970",,,,,,"978.165,35"
-34.90611111,-7.83388889,,"19,9395","0,090","195,033",Imbituba,Nivelamento Geométrico,"978.161,82"
-34.88968889,-7.83345833,"0,310",,,,,,"978.166,35"
-34.87086944,-7.82094167,"-3,250",,,,,,"978.167,87"
-34.85794167,-7.82028889,"-1,810",,,,,,"978.168,12"
-34.89039167,-7.81813889,"-2,960",,,,,,"978.166,35"
-34.90665556,-7.81797222,"20,170",,,,,,"978.159,98"
-34.89106111,-7.80595,"-4,840",,,,,,"978.165,96"
-34.87359167,-8.00021389,"10,340",,,,,,"978.162,67"
-34.84056944,-7.99960278,"-1,730",,,,,,"978.166,74"
-34.85689722,-7.99851667,"15,540",,,,,,"978.163,14"
-34.87402778,-7.98508889,"40,520",,,,,,"978.154,43"
-34.85647222,-7.98413333,"1,010",,,,,,"978.164,95"
-34.90739722,-7.98402222,"58,990",,,,,,"978.147,59"
-34.84046944,-7.98389722,"-3,110",,,,,,"978.165,12"
-34.8897,-7.98387778,"53,110",,,,,,"978.150,72"
-34.905275,-7.96863889,"62,390",,,,,,"978.149,51"
-34.84025833,-7.96767778,"-0,050",,,,,,"978.165,37"
-34.88995,-7.96753056,"43,660",,,,,,"978.154,24"
-34.87334167,-7.966575,"3,220",,,,,,"978.163,99"
-34.85588889,-7.96535556,"18,570",,,,,,"978.161,48"
-34.83834444,-7.95130833,"-3,200",,,,,,"978.166,41"
-34.87288889,-7.95109444,"27,580",,,,,,"978.159,53"
-34.88913611,-7.95064167,"33,170",,,,,,"978.157,67"
-34.856925,-7.950375,"-0,110",,,,,,"978.166,58"
-34.82350833,-7.93445556,"-2,900",,,,,,"978.166,28"
-34.88993056,-7.93439722,"7,460",,,,,,"978.161,77"
-34.85671667,-7.93439444,"-0,560",,,,,,"978.166,12"
-34.84371944,-7.93376667,"3,120",,,,,,"978.165,48"
-34.87420278,-7.93264444,"-0,620",,,,,,"978.164,23"
-34.84231667,-7.91872778,"-1,380",,,,,,"978.166,79"
-34.85777222,-7.91800278,"3,630",,,,,,"978.164,94"
-34.82387778,-7.91775,"-0,920",,,,,,"978.165,98"
-34.86913056,-7.91694167,"13,170",,,,,,"978.162,12"
-34.890125,-7.91666944,"10,810",,,,,,"978.162,43"
-35.12050556,-7.95071389,"87,840",,,,,,"978.126,84"
-35.10708611,-7.91744444,"88,580",,,,,,"978.129,73"
-35.10918611,-7.95218333,"125,900",,,,,,"978.119,07"
-35.10582778,-7.933625,"81,750",,,,,,"978.130,97"
-35.10846111,-7.97055556,"41,630",,,,,,"978.137,43"
-35.10661111,-8.00044167,"43,440",,,,,,"978.139,15"
-35.08875278,-7.91808611,"53,830",,,,,,"978.139,02"
-35.09024722,-7.93368889,"89,240",,,,,,"978.129,60"
-35.090625,-7.95140278,"50,930",,,,,,"978.136,21"
-35.09126111,-7.96857778,"52,280",,,,,,"978.136,96"
-35.08979444,-7.98378611,"53,620",,,,,,"978.138,35"
-35.08994722,-8.00049444,"48,130",,,,,,"978.138,95"
-35.07408056,-7.91475278,"83,370",,,,,,"978.133,69"
-35.07306944,-7.93446667,"63,340",,,,,,"978.137,59"
-35.07344444,-7.95115833,"58,460",,,,,,"978.137,67"
-35.07351944,-7.967525,"50,150",,,,,,"978.139,58"
-35.07518333,-8.00019722,"63,820",,,,,,"978.138,21"
-35.07333889,-7.98414167,"42,900",,,,,,"978.142,62"
-35.05962778,-7.91583056,"128,940",,,,,,"978.125,09"
-35.05655,-7.93399444,"118,440",,,,,,"978.128,10"
-35.05714444,-7.95104167,"58,740",,,,,,"978.140,60"
-35.05684167,-7.967375,"47,000",,,,,,"978.143,25"
-35.05649444,-7.98455,"37,860",,,,,,"978.146,93"
-35.0572,-8.00124722,"40,830",,,,,,"978.143,57"
-35.0398,-7.91913333,"119,790",,,,,,"978.130,33"
-35.039375,-7.93713333,"121,190",,,,,,"978.130,61"
-35.04011944,-7.95109444,"127,350",,,,,,"978.129,87"
-35.04055833,-7.96694444,"57,220",,,,,,"978.143,78"
-35.04038611,-7.98416667,"36,120",,,,,,"978.148,60"
-34.90719722,-8.08416389,"-3,010",,,,,,"978.162,26"
-34.64183611,-8.069225,"16,470",,,,,,"978.159,16"
-34.90812778,-8.066775,"-2,870",,,,,,"978.160,82"
-34.87222222,-8.06638889,,"2,7572","0,089","26,969",Imbituba,Nivelamento Geométrico,"978.161,38"
-34.87113879,-8.0631629,"-2,269","3,4884","0,089","34,121",Imbituba,Nivelamento Geométrico,"978.161,73"
-34.87388889,-8.0625,,"3,8054","0,089","37,222",Imbituba,Nivelamento Geométrico,"978.161,37"
-34.87,-8.06055556,,"2,8382","0,089","27,761",Imbituba,Nivelamento Geométrico,"978.162,00"
-34.87861111,-8.06027778,,"4,1884","0,089","40,968",Imbituba,Nivelamento Geométrico,"978.161,07"
-34.88583333,-8.05972222,,,,,,,"978.160,86"
-34.90388889,-8.05861111,,"2,2398","0,089","21,908",Imbituba,Nivelamento Geométrico,"978.160,60"
-34.88861111,-8.05805556,,"3,6462","0,089","35,665",Imbituba,Nivelamento Geométrico,"978.160,48"
-34.90788056,-8.15148333,"-1,910",,,,,,"978.145,31"
-34.91805556,-8.13888889,,"8,9990","0,092","88,022",Imbituba,Nivelamento Geométrico,"978.150,58"
-34.91833333,-8.13416667,,,,,,,"978.151,48"
-34.90671389,-8.13395556,"-3,140",,,,,,"978.149,64"
-34.9175,-8.1325,,"9,2151","0,091","90,136",Imbituba,Nivelamento Geométrico,"978.151,27"
-34.9175,-8.13222222,,"9,2969","0,091","90,936",Imbituba,Nivelamento Geométrico,"978.151,27"
-34.9175,-8.13166667,,"9,2582","0,091","90,558",Imbituba,Nivelamento Geométrico,"978.151,35"
-34.91777778,-8.13055556,,"9,2585","0,091","90,561",Imbituba,Nivelamento Geométrico,"978.151,49"
-34.92,-8.13,,"8,7395","0,091","85,484",Imbituba,Nivelamento Geométrico,"978.152,38"
-34.90848333,-8.11716389,"-3,480",,,,,,"978.153,54"
-34.88900278,-8.10125,"-3,170",,,,,,"978.154,83"
-34.90763056,-8.10054722,"-4,050",,,,,,"978.157,26"
-34.88914167,-8.08495833,"-0,860",,,,,,"978.161,32"
-34.90083333,-8.05694444,,"4,8933","0,089","47,863",Imbituba,Nivelamento Geométrico,"978.160,20"
-34.86833333,-8.05666667,,"2,7977","0,089","27,365",Imbituba,Nivelamento Geométrico,"978.162,26"
-34.90888889,-8.05583333,,"4,8804","0,089","47,737",Imbituba,Nivelamento Geométrico,"978.160,39"
-34.86795556,-8.05528056,,"2,7741","0,089","27,134",Imbituba,Nivelamento Geométrico,"978.162,06"
