LONGITUDE,LATITUDE,INSTITUICAO,ALT_ORTOMETRICA,GRAV_OBS,GRAV_ARLIVRE,GRAV_BOUGUER,FONTE
-62.84461754,-11.98394582,SGB,163.2,978257.43,50.11,31.84,SGB
-62.84741004,-11.99190103,SGB,166.82,978256.67,50.16,31.49,SGB
-62.84742552,-12.00055911,SGB,166.94,978256.7,49.91,31.22,SGB
-62.84742332,-12.00906421,SGB,165.52,978257.03,49.48,30.95,SGB
-62.84742997,-12.01840173,SGB,166.89,978257.1,49.62,30.94,SGB
-62.84741323,-12.02740541,SGB,163.71,978258.37,49.57,31.24,SGB
-62.8475397,-12.03669225,SGB,162.81,978261.61,52.18,33.95,SGB
-62.84750294,-12.04606064,SGB,157.56,978265.83,54.42,36.79,SGB
-62.84749075,-12.05550181,SGB,164.1,978266.4,56.65,38.28,SGB
-62.85481971,-12.05963895,SGB,173.16,978265.28,58.17,38.79,SGB
-62.86415033,-12.05973662,SGB,164.91,978265.06,55.4,36.95,SGB
-62.87346132,-12.05984955,SGB,162.3,978264.43,53.97,35.8,SGB
-62.88303247,-12.05989756,SGB,169.12,978263.78,55.42,36.49,SGB
-62.89211985,-12.06001503,SGB,168.32,978261.96,53.35,34.51,SGB
-62.90208775,-12.06089104,SGB,175.15,978259.07,52.52,32.92,SGB
-62.90947421,-12.05569438,SGB,185.89,978257.37,54.34,33.53,SGB
-62.91904376,-12.0553599,SGB,166.17,978260.11,51.01,32.41,SGB
-62.92824365,-12.05648824,SGB,164.77,978261.87,52.29,33.85,SGB
-62.93612739,-12.05656402,SGB,161.25,978261.77,51.1,33.05,SGB
-62.94524264,-12.05599792,SGB,161.77,978260.95,50.46,32.35,SGB
-62.95480013,-12.0559787,SGB,160.46,978260.34,49.44,31.48,SGB
-62.96578281,-12.05690399,SGB,157.68,978259.45,47.67,30.02,SGB
-62.97487822,-12.05926158,SGB,157.82,978258.69,46.86,29.19,SGB
-62.97653471,-12.06844829,SGB,152.09,978258.05,44.1,27.08,SGB
-62.97657528,-12.07777587,SGB,158.94,978255.92,43.74,25.95,SGB
-62.97655363,-12.08706776,SGB,159.64,978255.29,42.97,25.1,SGB
-62.9765666,-12.09648963,SGB,156.85,978254.27,40.73,23.18,SGB
-62.97657013,-12.10609126,SGB,154.9,978253.27,38.76,21.42,SGB
-62.97656652,-12.11520419,SGB,163.59,978252.83,40.65,22.34,SGB
-62.97658741,-12.12439626,SGB,153.93,978251.74,36.24,19.01,SGB
-62.97658163,-12.13363089,SGB,154.83,978251.51,35.93,18.6,SGB
-62.97662519,-12.14257436,SGB,157.27,978251.86,36.69,19.09,SGB
-62.97663642,-12.15181306,SGB,155.11,978252.41,36.22,18.86,SGB
-62.97650956,-12.16123695,SGB,160.37,978253.39,38.46,20.51,SGB
-61.46368755,-11.43417896,SGB,188.65,978205.51,26.28,5.16,SGB
-61.4685802,-11.44334458,SGB,174.78,978205.8,21.96,2.39,SGB
-61.47142495,-11.45072437,SGB,177.82,978203.08,19.91,0,SGB
-61.47146739,-11.45984118,SGB,200.12,978198.96,22.35,-0.05,SGB
-61.47249129,-11.46911366,SGB,202.4,978197.37,21.12,-1.53,SGB
-61.47471463,-11.47918276,SGB,229.25,978189.86,21.54,-4.12,SGB
-61.47508754,-11.48770991,SGB,228.21,978190.11,21.16,-4.38,SGB
-61.4750263,-11.49815492,SGB,206.78,978194.95,19.01,-4.14,SGB
-61.47984722,-11.5050278,SGB,213.17,978193.2,18.98,-4.88,SGB
-61.48690081,-11.51172322,SGB,230.08,978189.83,20.59,-5.16,SGB
-61.49444001,-11.51909666,SGB,238.39,978189.56,22.62,-4.06,SGB
-61.4965463,-11.5259402,SGB,240.31,978190.45,23.85,-3.04,SGB
-61.49238612,-11.53444652,SGB,239.84,978191.44,24.39,-2.46,SGB
-61.48882267,-11.54270715,SGB,241.82,978192.58,25.83,-1.23,SGB
-61.49249659,-11.55096136,SGB,245.16,978193.69,27.68,0.24,SGB
-61.49906965,-11.55831157,SGB,229.66,978198.51,27.45,1.74,SGB
-61.50496083,-11.56607358,SGB,205.94,978205.54,26.88,3.83,SGB
-61.51122752,-11.57339862,SGB,223.4,978202.76,29.22,4.21,SGB
-61.51875005,-11.57992266,SGB,240.88,978200.38,32,5.03,SGB
-61.52566786,-11.58592525,SGB,230.6,978203.21,31.44,5.63,SGB
-61.53453908,-11.5899382,SGB,209.89,978208.23,29.91,6.42,SGB
